Paper-ID,Title,url,Year,Venue,Authors,Type of Data,Type of Problem,Type of Model to be Explained,Type of Task,Type of Explanation,Method used to explain,Should the paper be included?,Should the paper be included with filter?
kdd/PeakeW18,Explanation Mining - Post Hoc Interpretability of Latent Factor Models for Recommendation Systems.,https://doi.org/10.1145/3219819.3220072,2018,KDD,"Georgina Peake, Jun Wang",User-item matrix,Model Explanation,Other,Recommendation,Decision Rules,Post-hoc explanation method,Yes,Yes
nips/Alvarez-MelisJ18,Towards Robust Interpretability with Self-Explaining Neural Networks.,https://proceedings.neurips.cc/paper/2018/hash/3e9f0fc9b2f89e043bc6233994dfcf76-Abstract.html,2018,NeurIPS,"David Alvarez-Melis, Tommi S. Jaakkola","Tabular / structured, Images",Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Interpretability built into the predictive model,Yes,Yes
nips/DhurandharCLTTS18,Explanations based on the Missing - Towards Contrastive Explanations with Pertinent Negatives.,https://proceedings.neurips.cc/paper/2018/hash/c5ff2543b53f4cc0ad3819a36752467b-Abstract.html,2018,NeurIPS,"Amit Dhurandhar, Pin-Yu Chen, Ronny Luss, Chun-Chen Tu, Pai-Shun Ting, Karthikeyan Shanmugam, Payel Das","Tabular / structured, Images",Outcome Explanation,(Deep) Neural Network,Classification,Localization,Post-hoc explanation method,Yes,Yes
iccv/FongV17,Interpretable Explanations of Black Boxes by Meaningful Perturbation.,https://doi.org/10.1109/ICCV.2017.371,2017,ICCV,"Ruth C. Fong, Andrea Vedaldi",Images,Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Heatmap,Post-hoc explanation method,Yes,Yes
aaai/AkulaWZ20,CoCoX - Generating Conceptual and Counterfactual Explanations via Fault-Lines.,https://aaai.org/ojs/index.php/AAAI/article/view/5643,2020,AAAI,"Arjun R. Akula, Shuai Wang, Song-Chun Zhu",Images,Outcome Explanation,(Deep) Neural Network,Classification,Prototypes,Post-hoc explanation method,Yes,Yes
aaai/ChenJ20,LS-Tree - Model Interpretation When the Data Are Linguistic.,https://aaai.org/ojs/index.php/AAAI/article/view/5749,2020,AAAI,"Jianbo Chen, Michael I. Jordan",Text,"Model Inspection, Outcome Explanation","(Deep) Neural Network, Any (for a specific task); model-agnostic, Logistic Regression",Classification,"Feature Importance, Graph",Post-hoc explanation method,Yes,Yes
aaai/CiravegnaGMMG20,A Constraint-Based Approach to Learning and Explanation.,https://aaai.org/ojs/index.php/AAAI/article/view/5774,2020,AAAI,"Gabriele Ciravegna, Francesco Giannini, Stefano Melacci, Marco Maggini, Marco Gori",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
aaai/DalleigerV20,Explainable Data Decompositions.,https://aaai.org/ojs/index.php/AAAI/article/view/5780,2020,AAAI,"Sebastian Dalleiger, Jilles Vreeken",Tabular / structured,Outcome Explanation,Other,Clustering,Other,"Interpretability built into the predictive model, Post-hoc explanation method",Yes,Yes
aaai/DongNCCZSLCM20,Asymmetrical Hierarchical Networks with Attentive Interactions for Interpretable Review-Based Recommendation.,https://aaai.org/ojs/index.php/AAAI/article/view/6268,2020,AAAI,"Xin Dong 0010, Jingchao Ni, Wei Cheng 0002, Zhengzhang Chen, Bo Zong, Dongjin Song, Yanchi Liu, Haifeng Chen, Gerard de Melo",Text,Outcome Explanation,(Deep) Neural Network,Recommendation,Feature Importance,Post-hoc explanation method,Yes,Yes
aaai/HarderBP20,Interpretable and Differentially Private Predictions.,https://aaai.org/ojs/index.php/AAAI/article/view/5827,2020,AAAI,"Frederik Harder, Matthias Bauer, Mijung Park","Tabular / structured, Images",Model Explanation,(Deep) Neural Network,Classification,"Feature Importance, Representation Synthesis",Post-hoc explanation method,Yes,Yes
aaai/HuaiWMZ20,Towards Interpretation of Pairwise Learning.,https://aaai.org/ojs/index.php/AAAI/article/view/5837,2020,AAAI,"Mengdi Huai, Di Wang 0015, Chenglin Miao, Aidong Zhang","Tabular / structured, Images, Other",Outcome Explanation,Any (for a specific task); model-agnostic,"Classification, Representation learning",Feature Importance,Post-hoc explanation method,Yes,Yes
aaai/ItoTSYI20,Word-Level Contextual Sentiment Analysis with Interpretability.,https://aaai.org/ojs/index.php/AAAI/article/view/5845,2020,AAAI,"Tomoki Ito, Kota Tsubouchi, Hiroki Sakaji, Tatsuo Yamashita, Kiyoshi Izumi",Text,Outcome Explanation,(Deep) Neural Network,Classification,Localization,Interpretability built into the predictive model,Yes,Yes
aaai/LiFANZ20,MRI Reconstruction with Interpretable Pixel-Wise Operations Using Reinforcement Learning.,https://aaai.org/ojs/index.php/AAAI/article/view/5423,2020,AAAI,"Wentian Li, Xidong Feng, Haotian An, Xiang Yao Ng, Yu-Jin Zhang",Images,Outcome Explanation,Other,Policy learning,Localization,Interpretability built into the predictive model,Yes,Yes
aaai/Madumal0SV20,Explainable Reinforcement Learning through a Causal Lens.,https://aaai.org/ojs/index.php/AAAI/article/view/5631,2020,AAAI,"Prashan Madumal, Tim Miller 0001, Liz Sonenberg, Frank Vetere",Other,Outcome Explanation,"(Deep) Neural Network, Tree Ensemble, Any (for a specific task); model-agnostic, Other",Policy learning,Text,Interpretability built into the predictive model,Yes,Yes
aaai/NamGCWL20,Relative Attributing Propagation - Interpreting the Comparative Contributions of Individual Units in Deep Neural Networks.,https://aaai.org/ojs/index.php/AAAI/article/view/5632,2020,AAAI,"Woo-Jeoung Nam, Shir Gur, Jaesik Choi, Lior Wolf, Seong-Whan Lee",Images,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Post-hoc explanation method,Yes,Yes
aaai/PathakLMP20,Chemically Interpretable Graph Interaction Network for Prediction of Pharmacokinetic Properties of Drug-Like Molecules.,https://aaai.org/ojs/index.php/AAAI/article/view/5433,2020,AAAI,"Yashaswi Pathak, Siddhartha Laghuvarapu, Sarvesh Mehta, U. Deva Priyakumar",Graph data,Outcome Explanation,(Deep) Neural Network,Regression,Feature Importance,Interpretability built into the predictive model,Yes,Yes
aaai/PatroAN20,Explanation vs Attention - A Two-Player Game to Obtain Attention for VQA.,https://aaai.org/ojs/index.php/AAAI/article/view/6858,2020,AAAI,"Badri N. Patro, Anupriy, Vinay Namboodiri","Images, Text",Outcome Explanation,(Deep) Neural Network,Question Answering,Heatmap,Supervised explanation training,Yes,Yes
aaai/WangZHZS20,Dynamic Network Pruning with Interpretable Layerwise Channel Selection.,https://aaai.org/ojs/index.php/AAAI/article/view/6098,2020,AAAI,"Yulong Wang, Xiaolu Zhang, Xiaolin Hu, Bo Zhang, Hang Su 0006",Images,Model Inspection,(Deep) Neural Network,Classification,"Representation Visualization, Other",Post-hoc explanation method,Yes,Yes
aaai/WuPHKCZ0D20,Regional Tree Regularization for Interpretability in Deep Neural Networks.,https://aaai.org/ojs/index.php/AAAI/article/view/6112,2020,AAAI,"Mike Wu, Sonali Parbhoo, Michael C. Hughes, Ryan Kindle, Leo A. Celi, Maurizio Zazzi, Volker Roth 0001, Finale Doshi-Velez",Tabular / structured,Model Explanation,(Deep) Neural Network,Classification,Decision Tree,Post-hoc explanation method,Yes,Yes
aaai/ZhongWTZ0S20,Iteratively Questioning and Answering for Interpretable Legal Judgment Prediction.,https://aaai.org/ojs/index.php/AAAI/article/view/5479,2020,AAAI,"Haoxi Zhong, Yuzhong Wang, Cunchao Tu, Tianyang Zhang, Zhiyuan Liu 0001, Maosong Sun",Text,Outcome Explanation,(Deep) Neural Network,"Question Answering, Classification",Localization,Interpretability built into the predictive model,Yes,Yes
acl/AtanasovaSLA20,Generating Fact Checking Explanations.,https://doi.org/10.18653/v1/2020.acl-main.656,2020,ACL,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma, Isabelle Augenstein",Text,Outcome Explanation,(Deep) Neural Network,"Classification, Other",Text,Supervised explanation training,Yes,Yes
acl/ChenZJ20,Generating Hierarchical Explanations on Text Classification via Feature Interaction Detection.,https://doi.org/10.18653/v1/2020.acl-main.494,2020,ACL,"Hanjie Chen, Guangtao Zheng, Yangfeng Ji",Text,Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,"Feature Importance, Graph",Post-hoc explanation method,Yes,Yes
acl/GonenJSG20,"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora.",https://doi.org/10.18653/v1/2020.acl-main.51,2020,ACL,"Hila Gonen, Ganesh Jawahar, Djamé Seddah, Yoav Goldberg",Text,Transparent Box Design,Other,Other,"Localization, Representation Visualization",Interpretability built into the predictive model,Yes,Yes
acl/HanWT20,Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions.,https://doi.org/10.18653/v1/2020.acl-main.492,2020,ACL,"Xiaochuang Han, Byron C. Wallace, Yulia Tsvetkov",Text,Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Prototypes",Post-hoc explanation method,Yes,Yes
acl/KumarT20,NILE - Natural Language Inference with Faithful Natural Language Explanations.,https://doi.org/10.18653/v1/2020.acl-main.771,2020,ACL,"Sawan Kumar, Partha P. Talukdar",Text,Outcome Explanation,(Deep) Neural Network,Classification,"Text, Localization",Supervised explanation training,Yes,Yes
acl/LuL20,GCAN - Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media.,https://doi.org/10.18653/v1/2020.acl-main.48,2020,ACL,"Yi-Ju Lu, Cheng-Te Li",Text,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,Heatmap,Interpretability built into the predictive model,Yes,Yes
acl/MohankumarNNKSR20,Towards Transparent and Explainable Attention Models.,https://doi.org/10.18653/v1/2020.acl-main.387,2020,ACL,"Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M. Khapra, Balaji Vasan Srinivasan, Balaraman Ravindran",Text,Outcome Explanation,(Deep) Neural Network,"Classification, Question Answering",Feature Importance,Interpretability built into the predictive model,Yes,Yes
acl/ShahbaziFGT20,Relation Extraction with Explanation.,https://doi.org/10.18653/v1/2020.acl-main.579,2020,ACL,"Hamed Shahbazi, Xiaoli Z. Fern, Reza Ghaeini, Prasad Tadepalli","Text, Other",Outcome Explanation,(Deep) Neural Network,Other,Feature Importance,Post-hoc explanation method,Yes,Yes
acl/SubramanianBGWS20,Obtaining Faithful Interpretations from Compositional Neural Networks.,https://doi.org/10.18653/v1/2020.acl-main.495,2020,ACL,"Sanjay Subramanian, Ben Bogin, Nitish Gupta, Tomer Wolfson, Sameer Singh 0001, Jonathan Berant, Matt Gardner 0001","Images, Text",Outcome Explanation,(Deep) Neural Network,"Classification, Question Answering","Localization, Other","Interpretability built into the predictive model, Supervised explanation training",Yes,Yes
acl/WuCKL20,Perturbed Masking - Parameter-free Probing for Analyzing and Interpreting BERT.,https://doi.org/10.18653/v1/2020.acl-main.383,2020,ACL,"Zhiyong Wu, Yun Chen, Ben Kao, Qun Liu",Text,"Model Inspection, Outcome Explanation",(Deep) Neural Network,"Classification, Other","Heatmap, Other",Post-hoc explanation method,Yes,Yes
acl/WuRZLN20,DTCA - Decision Tree-based Co-Attention Networks for Explainable Claim Verification.,https://doi.org/10.18653/v1/2020.acl-main.97,2020,ACL,"Lianwei Wu, Yuan Rao, Yongqiang Zhao, Hao Liang, Ambreen Nazir","Text, Graph data",Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Localization",Interpretability built into the predictive model,Yes,Yes
acl/ZhangSFL20,"Learning Interpretable Relationships between Entities, Relations and Concepts via Bayesian Structure Learning on Open Domain Facts.",https://doi.org/10.18653/v1/2020.acl-main.717,2020,ACL,"Jingyuan Zhang, Mingming Sun, Yue Feng, Ping Li 0001",Graph data,Transparent Box Design,Bayesian or Hierarchical Network,Other,Graph,Interpretability built into the predictive model,Yes,Yes
acl/ZhouZY20,Interpretable Operational Risk Classification with Semi-Supervised Variational Autoencoder.,https://doi.org/10.18653/v1/2020.acl-main.78,2020,ACL,"Fan Zhou, Shengming Zhang, Yi Yang",Text,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Interpretability built into the predictive model,Yes,Yes
cvpr/ChengRCZ20,Explaining Knowledge Distillation by Quantifying the Knowledge.,https://doi.org/10.1109/CVPR42600.2020.01294,2020,CVPR,"Xu Cheng, Zhefan Rao, Yilan Chen, Quanshi Zhang",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Heatmap, Localization",Post-hoc explanation method,Yes,Yes
cvpr/HuangL20,Interpretable and Accurate Fine-grained Recognition via Region Grouping.,https://doi.org/10.1109/CVPR42600.2020.00869,2020,CVPR,"Zixuan Huang, Yin Li",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Heatmap, Localization",Interpretability built into the predictive model,Yes,Yes
cvpr/JakabGBV20,Self-Supervised Learning of Interpretable Keypoints From Unlabelled Videos.,https://doi.org/10.1109/CVPR42600.2020.00881,2020,CVPR,"Tomas Jakab, Ankush Gupta 0001, Hakan Bilen, Andrea Vedaldi","Images, Video",Outcome Explanation,(Deep) Neural Network,Other,"Disentanglement, Localization",Interpretability built into the predictive model,Yes,Yes
cvpr/JalwanaABM20,Attack to Explain Deep Representation.,https://doi.org/10.1109/CVPR42600.2020.00956,2020,CVPR,"Mohammad A. A. K. Jalwana, Naveed Akhtar, Mohammed Bennamoun, Ajmal Mian",Images,Model Inspection,(Deep) Neural Network,Classification,Representation Synthesis,Post-hoc explanation method,Yes,Yes
cvpr/KimGPS20,A Programmatic and Semantic Approach to Explaining and Debugging Neural Network Based Object Detectors.,https://doi.org/10.1109/CVPR42600.2020.01114,2020,CVPR,"Edward Kim, Divya Gopinath, Corina S. Pasareanu, Sanjit A. Seshia",Images,"Model Explanation, Outcome Explanation",(Deep) Neural Network,Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
cvpr/LiuLZKWBRC20,Towards Visually Explaining Variational Autoencoders.,https://doi.org/10.1109/CVPR42600.2020.00867,2020,CVPR,"WenQian Liu, Runze Li, Meng Zheng, Srikrishna Karanam, Ziyan Wu, Bir Bhanu, Richard J. Radke, Octavia I. Camps",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Generation,"Disentanglement, Heatmap",Interpretability built into the predictive model,Yes,Yes
cvpr/ShenGTZ20,Interpreting the Latent Space of GANs for Semantic Face Editing.,https://doi.org/10.1109/CVPR42600.2020.00926,2020,CVPR,"Yujun Shen, Jinjin Gu, Xiaoou Tang, Bolei Zhou",Images,Model Inspection,(Deep) Neural Network,Generation,Disentanglement,Post-hoc explanation method,Yes,Yes
cvpr/WangV20,SCOUT - Self-Aware Discriminant Counterfactual Explanations.,https://doi.org/10.1109/CVPR42600.2020.00900,2020,CVPR,"Pei Wang, Nuno Vasconcelos",Images,Outcome Explanation,(Deep) Neural Network,Classification,Localization,Post-hoc explanation method,Yes,Yes
cvpr/WuSCZKLT20a,Towards Global Explanations of Convolutional Neural Networks With Concept Attribution.,https://doi.org/10.1109/CVPR42600.2020.00868,2020,CVPR,"Weibin Wu, Yuxin Su, Xixian Chen, Shenglin Zhao, Irwin King, Michael R. Lyu, Yu-Wing Tai",Images,Model Inspection,(Deep) Neural Network,Classification,"Feature Importance, Representation Synthesis",Post-hoc explanation method,Yes,Yes
cvpr/XuYGLWLV20,Explainable Object-Induced Action Decision for Autonomous Vehicles.,https://doi.org/10.1109/CVPR42600.2020.00954,2020,CVPR,"Yiran Xu, Xiaoyin Yang, Lihang Gong, Hsuan-Chu Lin, Tz-Ying Wu, Yunsheng Li, Nuno Vasconcelos",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Localization, Text",Supervised explanation training,Yes,Yes
icdm/JiWJMZ20,Interpretable Spatiotemporal Deep Learning Model for Traffic Flow Prediction based on Potential Energy Fields.,https://doi.org/10.1109/ICDM50108.2020.00128,2020,ICDM,"Jiahao Ji, Jingyuan Wang, Zhe Jiang 0001, Jingtian Ma, Hu Zhang",Time series,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Interpretability built into the predictive model,Yes,Yes
iclr/JinWDXR20,Towards Hierarchical Importance Attribution - Explaining Compositional Semantics for Neural Sequence Models.,https://openreview.net/forum?id=BkxRRkSKwr,2020,ICLR,"Xisen Jin, Zhongyu Wei, Junyi Du, Xiangyang Xue, Xiang Ren 0001",Text,Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,"Feature Importance, Graph",Post-hoc explanation method,Yes,Yes
iclr/MohanKSF20,Robust And Interpretable Blind Image Denoising Via Bias-Free Convolutional Neural Networks.,https://openreview.net/forum?id=HJlSmC4FPS,2020,ICLR,"Sreyas Mohan, Zahra Kadkhodaie, Eero P. Simoncelli, Carlos Fernandez-Granda",Images,Model Inspection,(Deep) Neural Network,Other,"Representation Synthesis, Other",Post-hoc explanation method,Yes,Yes
iclr/OreshkinCCB20,N-BEATS - Neural basis expansion analysis for interpretable time series forecasting.,https://openreview.net/forum?id=r1ecqn4YwB,2020,ICLR,"Boris N. Oreshkin, Dmitri Carpov, Nicolas Chapados, Yoshua Bengio",Time series,Model Inspection,(Deep) Neural Network,Regression,Feature plot,Interpretability built into the predictive model,Yes,Yes
iclr/PuriVGKDK020,Explain Your Move - Understanding Agent Actions Using Specific and Relevant Feature Attribution.,https://openreview.net/forum?id=SJgzLkBKPB,2020,ICLR,"Nikaash Puri, Sukriti Verma, Piyush Gupta, Dhruv Kayastha, Shripad Deshmukh, Balaji Krishnamurthy, Sameer Singh 0001","Images, Other",Outcome Explanation,(Deep) Neural Network,Policy learning,Heatmap,Post-hoc explanation method,Yes,Yes
iclr/SinglaPCB20,Explanation by Progressive Exaggeration.,https://openreview.net/forum?id=H1xFWgrFPS,2020,ICLR,"Sumedha Singla, Brian Pollack, Junxiang Chen, Kayhan Batmanghelich","Images, Any",Outcome Explanation,(Deep) Neural Network,Classification,"Representation Synthesis, Representation Visualization, Heatmap",Post-hoc explanation method,Yes,Yes
iclr/YangS20,Learn to Explain Efficiently via Neural Logic Inductive Learning.,https://openreview.net/forum?id=SJlh8CEYDB,2020,ICLR,"Yuan Yang, Le Song","Images, Graph data","Model Inspection, Outcome Explanation","(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
icml/AndersPDMK20,Fairwashing explanations with off-manifold detergent.,http://proceedings.mlr.press/v119/anders20a.html,2020,ICML,"Christopher J. Anders, Plamen Pasliev, Ann-Kathrin Dombrowski, Klaus-Robert Müller, Pan Kessel","Tabular / structured, Images",Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic, Logistic Regression",Classification,"Feature Importance, Heatmap","Post-hoc explanation method, Supervised explanation training",Yes,Yes
icml/ChalasaniC00J20,Concise Explanations of Neural Networks using Adversarial Training.,http://proceedings.mlr.press/v119/chalasani20a.html,2020,ICML,"Prasad Chalasani, Jiefeng Chen, Amrita Roy Chowdhury 0001, Xi Wu 0001, Somesh Jha","Tabular / structured, Images",Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Heatmap",Post-hoc explanation method,Yes,Yes
icml/ChaudharySG20,Explainable and Discourse Topic-aware Neural Language Understanding.,http://proceedings.mlr.press/v119/chaudhary20a.html,2020,ICML,"Yatin Chaudhary, Hinrich Schütze, Pankaj Gupta",Text,Outcome Explanation,(Deep) Neural Network,"Classification, Retrieval",Other,Supervised explanation training,Yes,Yes
